"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
3.222837025E0,-2.394201756E-1,5.147533491E-2,9.591172218E0
3.232914025E0,-2.310404629E-1,6.224924326E-2,9.598354340E0
3.242874025E0,-2.346317619E-1,5.626374111E-2,9.587580681E0
3.252893025E0,-2.334346622E-1,5.267243832E-2,9.594763756E0
3.262899025E0,-2.442085743E-1,5.985504389E-2,9.593565941E0
3.272889025E0,-2.382230759E-1,6.943184882E-2,9.595960617E0
3.282874025E0,-2.358288616E-1,6.105214357E-2,9.589975357E0
3.292901025E0,-2.406172752E-1,6.344634295E-2,9.587580681E0
3.302749025E0,-2.370259613E-1,6.344634295E-2,9.603142738E0
3.312937025E0,-2.370259613E-1,5.985504389E-2,9.603142738E0
3.322808025E0,-2.346317619E-1,5.865794048E-2,9.599552155E0
3.332825025E0,-2.406172752E-1,6.105214357E-2,9.594763756E0
3.342800025E0,-2.430114746E-1,5.985504389E-2,9.601945877E0
3.352872025E0,-2.286462635E-1,6.105214357E-2,9.593565941E0
3.362794025E0,-2.346317619E-1,5.746084079E-2,9.591172218E0
3.372838025E0,-2.370259613E-1,6.464344263E-2,9.588777542E0
3.382723025E0,-2.418143749E-1,6.105214357E-2,9.591172218E0
3.392883025E0,-2.274491638E-1,5.626374111E-2,9.606734276E0
3.402789025E0,-2.382230759E-1,5.506663769E-2,9.595960617E0
3.412879025E0,-2.298433632E-1,5.267243832E-2,9.589975357E0
3.422756025E0,-2.322375625E-1,5.985504389E-2,9.587580681E0
3.432837025E0,-2.310404629E-1,5.985504389E-2,9.582792282E0
3.442853025E0,-2.274491638E-1,6.224924326E-2,9.593565941E0
3.452731025E0,-2.430114746E-1,6.105214357E-2,9.599552155E0
3.462686025E0,-2.322375625E-1,5.865794048E-2,9.591172218E0
3.472826025E0,-2.370259613E-1,5.746084079E-2,9.592369080E0
3.482860025E0,-2.406172752E-1,6.464344263E-2,9.591172218E0
3.492928025E0,-2.358288616E-1,6.105214357E-2,9.587580681E0
3.503009025E0,-2.322375625E-1,5.985504389E-2,9.592369080E0
3.512875025E0,-2.418143749E-1,6.224924326E-2,9.589975357E0
3.522815025E0,-2.298433632E-1,3.830722719E-2,9.603142738E0
3.532750025E0,-2.418143749E-1,6.105214357E-2,9.595960617E0
3.542847025E0,-2.513911724E-1,5.386953801E-2,9.599552155E0
3.553062025E0,-2.346317619E-1,6.224924326E-2,9.583989143E0
